name,diet,period,lived_in,type,length,taxonomy,named_by,species,link
microraptor,carnivorous,Early Cretaceous 125-122 million years ago,China,small theropod,0.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Zhou and Wang (2000),zhaoianus,https://www.nhm.ac.uk/discover/dino-directory/microraptor.html
minmi,herbivorous,Early Cretaceous 121-112 million years ago,Australia,armoured dinosaur,3.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Molnar (1980),paravertebra,https://www.nhm.ac.uk/discover/dino-directory/minmi.html
monolophosaurus,carnivorous,Mid Jurassic 180-159 million years ago,China,large theropod,5.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Zhao and Currie (1993),jiangi,https://www.nhm.ac.uk/discover/dino-directory/monolophosaurus.html
mononykus,unknown,Late Cretaceous 81-68 million years ago,Mongolia,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Perle Norell Chiappe and Clark (1993),olecranus,https://www.nhm.ac.uk/discover/dino-directory/mononykus.html
mussaurus,herbivorous,Late Triassic 221-210 million years ago,Argentina,sauropod,3.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Bonaparte and Vince (1979),patagonicus,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html
muttaburrasaurus,herbivorous,Early Cretaceous 110-100 million years ago,Australia,euornithopod,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Bartholomai and Molnar (1981),langdoni,https://www.nhm.ac.uk/discover/dino-directory/muttaburrasaurus.html
nanshiungosaurus,omnivorous,Late Cretaceous 84-71 million years ago,China,large theropod,4.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Dong (1979),brevispinus,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html
nedoceratops,herbivorous,Late Cretaceous 67-65 million years ago,USA,ceratopsian,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Lull (1905),hatcheri,https://www.nhm.ac.uk/discover/dino-directory/nedoceratops.html
nemegtosaurus,herbivorous,Late Cretaceous 72-68 million years ago,Mongolia,sauropod,13.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Nowinski (1971),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/nemegtosaurus.html
neovenator,carnivorous,Early Cretaceous 127-121 million years ago,United Kingdom,large theropod,7.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Hutt Martill and Barker (1996),salerii,https://www.nhm.ac.uk/discover/dino-directory/neovenator.html
neuquenosaurus,herbivorous,Late Cretaceous 71-65 million years ago,Argentina,sauropod,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Lydekker (1893),australis,https://www.nhm.ac.uk/discover/dino-directory/neuquenosaurus.html
nigersaurus,herbivorous,Early Cretaceous 121-99 million years ago,Tunisia,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson &amp; Wilson (1999),taqueti,https://www.nhm.ac.uk/discover/dino-directory/nigersaurus.html
nipponosaurus,herbivorous,Late Cretaceous 89-84 million years ago,Russia,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Nagao (1936),sachalinensis,https://www.nhm.ac.uk/discover/dino-directory/nipponosaurus.html
noasaurus,carnivorous,Late Cretaceous 84-65 million years ago,Argentina,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Bonaparte and Powell (1980),leali,https://www.nhm.ac.uk/discover/dino-directory/noasaurus.html
nodosaurus,herbivorous,Early Cretaceous 110-100 million years ago,USA,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Marsh (1889),textilis,https://www.nhm.ac.uk/discover/dino-directory/nodosaurus.html
nomingia,omnivorous,Late Cretaceous 72-68 million years ago,Mongolia,small theropod,1.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Barsbold Osmólska Watabe Currie and Tsogtbaatar (2000),gobiensis,https://www.nhm.ac.uk/discover/dino-directory/nomingia.html
nothronychus,omnivorous,Late Cretaceous 94-89 million years ago,USA,large theropod,5.3m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Kirkland and Wolfe (2001),mckinleyi,https://www.nhm.ac.uk/discover/dino-directory/nothronychus.html
nqwebasaurus,carnivorous,Mid Jurassic 159-132 million years ago,South Africa,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,de Klerk Forster Sampson Chinsamy and Ross (2000),thwazi,https://www.nhm.ac.uk/discover/dino-directory/nqwebasaurus.html
omeisaurus,herbivorous,Mid Jurassic 169-159 million years ago,China,sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Young (1939),junghsiensis,https://www.nhm.ac.uk/discover/dino-directory/omeisaurus.html
opisthocoelicaudia,herbivorous,Late Cretaceous 72-68 million years ago,Mongolia,sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Borsuk-Bialynicka  (1977),skarzynskii ,https://www.nhm.ac.uk/discover/dino-directory/opisthocoelicaudia.html
ornitholestes,carnivorous,Late Jurassic 150-144 million years ago,USA,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Osbourne (1933),hermanni,https://www.nhm.ac.uk/discover/dino-directory/ornitholestes.html
ornithomimus,omnivorous,Late Cretaceous 74-65 million years ago,USA,large theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Marsh (1890),velox,https://www.nhm.ac.uk/discover/dino-directory/ornithomimus.html
orodromeus,herbivorous,Late Cretaceous 74 million years ago,USA,euornithopod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Horner and Weishampel (1988),makelai,https://www.nhm.ac.uk/discover/dino-directory/orodromeus.html
oryctodromeus,herbivorous,Late Cretaceous 99-94 million years ago,USA,euornithopod,2.1m,Dinosauria Ornithischia,Varricchio Marin and Katsura (2007),cubicularis,https://www.nhm.ac.uk/discover/dino-directory/oryctodromeus.html
othnielia,herbivorous,Late Jurassic 154-142 million years ago,USA,euornithopod,1.4m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Marsh (1877),rex,https://www.nhm.ac.uk/discover/dino-directory/othnielia.html
ouranosaurus,herbivorous,Early Cretaceous 115-100 million years ago,Niger,euornithopod,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Taquet (1976),nigeriensis,https://www.nhm.ac.uk/discover/dino-directory/ouranosaurus.html
oviraptor,omnivorous,Late Cretaceous 85-75 million years ago,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Osborn (1924),philoceratops,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html
pachycephalosaurus,herbivorous,Late Cretaceous 76-65 million years ago,USA,euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Brown and Schlaikjer (1943),wyomingensis,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html
pachyrhinosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sternberg (1950),canadensis,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html
panoplosaurus,herbivorous,Late Cretaceous 79-75 million years ago,USA,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Lambe (1919),mirus,https://www.nhm.ac.uk/discover/dino-directory/panoplosaurus.html
pantydraco,herbivorous,Early Jurassic,Wales,euornithopod,3.0m,Dinosauria Saurischia,Galton Yates and Kermack 2007 (2003),caducus,https://www.nhm.ac.uk/discover/dino-directory/pantydraco.html
paralititan,herbivorous,Late Cretaceous 99-94 million years ago,Egypt,sauropod,28.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Smith Lamanna Lacovara Dodson Smith Poole Giegengack and Attia (2001),stromeri,https://www.nhm.ac.uk/discover/dino-directory/paralititan.html
parasaurolophus,herbivorous,Late Cretaceous 76-74 million years ago,USA,euornithopod,11.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1922),walkeri,https://www.nhm.ac.uk/discover/dino-directory/parasaurolophus.html
parksosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Canada,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Sternberg (1937),warrenae,https://www.nhm.ac.uk/discover/dino-directory/parksosaurus.html
patagosaurus,herbivorous,Mid Jurassic 164-159 million years ago,Argentina,sauropod,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Bonaparte (1979),fariasi,https://www.nhm.ac.uk/discover/dino-directory/patagosaurus.html
pelicanimimus,carnivorous,Early Cretaceous 127-121 million years ago,Spain,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Pérez-Moreno Sanz Buscalioni Moratalla Ortega and Rasskin-Gutman (1994),polyodon,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html
pelorosaurus,herbivorous,Early Cretaceous 125 million years ago,United Kingdom,sauropod,25.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,Mantell (1850),conybearei,https://www.nhm.ac.uk/discover/dino-directory/pelorosaurus.html
pentaceratops,herbivorous,Late Cretaceous 76-74 million years ago,USA,ceratopsian,6.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Osborn (1923),sternbergi,https://www.nhm.ac.uk/discover/dino-directory/pentaceratops.html
piatnitzkysaurus,carnivorous,Late Jurassic 164-159 million years ago,Argentina,large theropod,4.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Bonaparte (1979),floresi,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html
pinacosaurus,herbivorous,Late Cretaceous 81-75 million years ago,Mongolia,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Gilmore (1933),grangeri,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html
plateosaurus,herbivorous,Late Triassic 210 million years ago,Switzerland,sauropod,7.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Meyer (1837),engelhardti,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html
podokesaurus,carnivorous,Mid Jurassic 195-180 million years ago,USA,small theropod,0.9m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Talbot (1911),holyokensis,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html
poekilopleuron,carnivorous,Mid Jurassic 169-164 million years ago,France,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Eudes-Deslongchamps (1838),bucklandii,https://www.nhm.ac.uk/discover/dino-directory/poekilopleuron.html
polacanthus,herbivorous,Early Cretaceous 125 million years ago,United Kingdom,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Hulke (1881),foxii,https://www.nhm.ac.uk/discover/dino-directory/polacanthus.html
prenocephale,herbivorous,Late Cretaceous 80-65 million years ago,Mongolia,euornithopod,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),prenes,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html
probactrosaurus,herbivorous,Early Cretaceous 121-99 million years ago,China,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Rozhdestvensky (1966),gobiensis,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html
proceratosaurus,carnivorous,Mid Jurassic 169-164 million years ago,United Kingdom,small theropod,4.1m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Woodward (1910),bradleyi,https://www.nhm.ac.uk/discover/dino-directory/proceratosaurus.html
procompsognathus,carnivorous,Late Triassic 221-210 million years ago,Germany,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Fraas (1913),triassicus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html
prosaurolophus,herbivorous,Late Cretaceous 77-75 million years ago,USA,euornithopod,7.6m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1916),maximus,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html
protarchaeopteryx,carnivorous,Early Cretaceous 122-120 million years ago,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,Ji and Ji (1997),robusta,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html
protoceratops,herbivorous,Late Cretaceous 74-70 million years ago,Mongolia,ceratopsian,1.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Granger and Gregory (1923),andrewsi,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html
protohadros,herbivorous,Late Cretaceous 99-94 million years ago,USA,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Head (1998),byrdi,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html
psittacosaurus,herbivorous,Early Cretaceous 120-100 million years ago,Russia,ceratopsian,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,Osborn (1923),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html
quaesitosaurus,herbivorous,Late Cretaceous 86-84 million years ago,Mongolia,sauropod,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Kurzanov and Bannikov (1983),orientalis,https://www.nhm.ac.uk/discover/dino-directory/quaesitosaurus.html
rebbachisaurus,herbivorous,Early Cretaceous 112-99 million years ago,Morocco,sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,Lavocat (1954),garasbae,https://www.nhm.ac.uk/discover/dino-directory/rebbachisaurus.html
rhabdodon,herbivorous,Late Cretaceous 76-70 million years ago,Spain,euornithopod,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Matherton (1869),priscus,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html
rhoetosaurus,herbivorous,Mid Jurassic 177-169 million years ago,Australia,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,Longman (1926),brownei,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html
rinchenia,omnivorous,Late Cretaceous 72-68 million years ago,Mongolia,small theropod,2.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Barsbold (1986),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html
riojasaurus,herbivorous/omnivorous,Late Triassic 221-210 million years ago,Argentina,sauropod,5.15m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Bonaparte (1969),incertus,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html
rugops,carnivorous,Late Cretaceous 95 million years ago,Niger,large theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sereno Wilson and Conrad (2004),primus,https://www.nhm.ac.uk/discover/dino-directory/rugops.html
saichania,herbivorous,Late Cretaceous 80 million years ago,Mongolia,armoured dinosaur,6.6m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maryañska (1977),chulsanensis,https://www.nhm.ac.uk/discover/dino-directory/saichania.html
saltasaurus,herbivorous,Late Cretaceous 70-65 million years ago,Argentina,sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Bonaparte and Powell (1980),loricatus,https://www.nhm.ac.uk/discover/dino-directory/saltasaurus.html
saltopus,carnivorous,Late Triassic 221-210 million years ago,United Kingdom,small theropod,,Dinosauria,Huene (1910),elginensis,https://www.nhm.ac.uk/discover/dino-directory/saltopus.html
sarcosaurus,carnivorous,Early Jurassic 202-195 million years ago,United Kingdom,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,Andrews (1921),woodi,https://www.nhm.ac.uk/discover/dino-directory/sarcosaurus.html
saurolophus,herbivorous,Late Cretaceous 74-70 million years ago,Mongolia,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1912),osborni,https://www.nhm.ac.uk/discover/dino-directory/saurolophus.html
sauropelta,herbivorous,Early Cretaceous 121-94 million years ago,USA,armoured dinosaur,6.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Ostrom (1970),edwardsorum,https://www.nhm.ac.uk/discover/dino-directory/sauropelta.html
saurophaganax,carnivorous,Late Jurassic 154-142 million years ago,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Chure (1996),maximus,https://www.nhm.ac.uk/discover/dino-directory/saurophaganax.html
saurornithoides,carnivorous,Late Cretaceous 85-80 million years ago,Mongolia,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osborn (1924),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html
scelidosaurus,herbivorous,Early Jurassic 208-194 million years ago,United Kingdom,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,Owen (1868),harrisonii,https://www.nhm.ac.uk/discover/dino-directory/scelidosaurus.html
scutellosaurus,herbivorous,Early Jurassic 205-202 million years ago,USA,armoured dinosaur,1.2m,Dinosauria Ornithischia Genasauria Thyreophora,Colbert (1981),lawleri,https://www.nhm.ac.uk/discover/dino-directory/scutellosaurus.html
secernosaurus,herbivorous,Late Cretaceous 71-65 million years ago,Argentina,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),koerneri,https://www.nhm.ac.uk/discover/dino-directory/secernosaurus.html
segisaurus,carnivorous,Mid Jurassic 195-180 million years ago,USA,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,Camp (1936),halli,https://www.nhm.ac.uk/discover/dino-directory/segisaurus.html
segnosaurus,carnivorous,Late Cretaceous 97-88 million years ago,Mongolia,large theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle (1979),galbinensis,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html
shamosaurus,herbivorous,Early Cretaceous 121-99 million years ago,Mongolia,armoured dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Tumanova (1983),scutatus,https://www.nhm.ac.uk/discover/dino-directory/shamosaurus.html
shanag,carnivorous,Early Cretaceous 126-142 million years ago,Mongolia,small theropod,0.45m,Dinosauria Saurischia,Turner Hwang and Norell (2007),ashile,https://www.nhm.ac.uk/discover/dino-directory/shanag.html
shantungosaurus,herbivorous,Late Cretaceous 78-74 million years ago,China,euornithopod,15.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Hu (1973),giganteus,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html
shunosaurus,herbivorous,Mid Jurassic 170-160 million years ago,China,sauropod,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Dong Zhou and Zhang (1983),lii,https://www.nhm.ac.uk/discover/dino-directory/shunosaurus.html
shuvuuia,omnivorous,Late Cretaceous 75-81 million years ago,Mongolia,small theropod,0.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Chiappe Norell and Clark (1998),deserti,https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html
silvisaurus,herbivorous,Early Cretaceous 121-112 million years ago,USA,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Eaton (1960),condrayi,https://www.nhm.ac.uk/discover/dino-directory/silvisaurus.html
sinocalliopteryx,carnivorous,Early Cretaceous 125 million years ago,China,small theropod,2.37m,Dinosauria Saurischia,Ji Ji Lü and Yuan (2007),gigas,https://www.nhm.ac.uk/discover/dino-directory/sinocalliopteryx.html
sinornithosaurus,carnivorous,Early Cretaceous 122-120 million years ago,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Wang and Wu (1999),millenii,https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html
sinosauropteryx,carnivorous,Early Cretaceous 122-120 million years ago,China,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Ji and Ji (1996),prima,https://www.nhm.ac.uk/discover/dino-directory/sinosauropteryx.html
sinovenator,carnivorous,Early Cretaceous 127-121 million years ago,China,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Xu Norell Wang Makovicky and Wu (2002),changii,https://www.nhm.ac.uk/discover/dino-directory/sinovenator.html
sinraptor,carnivorous,Mid Jurassic 169-142 million years ago,China,large theropod,7.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Gao (1992),hepingensis,https://www.nhm.ac.uk/discover/dino-directory/sinraptor.html
sonidosaurus,herbivorous,Late Cretaceous 89-65 million years ago,China,sauropod,9.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Xu Zhang Tan Zhao and Tan (2006),saihangaobiensis,https://www.nhm.ac.uk/discover/dino-directory/sonidosaurus.html
spinosaurus,carnivorous,Late Cretaceous 95-70 million years ago,Morocco,large theropod,18.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Stromer (1915),aegyptiacus,https://www.nhm.ac.uk/discover/dino-directory/spinosaurus.html
staurikosaurus,carnivorous,Late Triassic 227-221 million years ago,Brazil,large theropod,2.0m,Dinosauria Saurischia Theropoda Herrerasauridae,Colbert (1970),pricei,https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html
stegoceras,herbivorous,Late Cretaceous 76-74 million years ago,USA,euornithopod,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Lambe (1902),validum,https://www.nhm.ac.uk/discover/dino-directory/stegoceras.html
stegosaurus,herbivorous,Late Jurassic 155-145 million years ago,USA,armoured dinosaur,9.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Marsh (1877),armatus,https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html
stenopelix,herbivorous,Early Cretaceous 127-121 million years ago,Germany,ceratopsian,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Meyer (1857),valdensis,https://www.nhm.ac.uk/discover/dino-directory/stenopelix.html
